seq1_id,seq2_id,tm_score
107lA00,108lA00,0.99929
107lA00,109lA00,0.99945
107lA00,110lA00,0.99947
107lA00,111lA00,0.99929
107lA00,112lA00,0.99892
107lA00,113lA00,0.99929
107lA00,114lA00,0.99938
107lA00,115lA00,0.99909
107lA00,118lA00,0.99957
107lA00,119lA00,0.99924
107lA00,120lA00,0.99889
107lA00,122lA00,0.99958
107lA00,123lA00,0.99947
107lA00,125lA00,0.9993
107lA00,126lA00,0.99914
107lA00,127lA00,0.99889
107lA00,128lA00,0.99916
107lA00,129lA00,0.99932
107lA00,12asA00,0.23215
107lA00,12caA00,0.22614
107lA00,12e8H01,0.23671
107lA00,12e8L01,0.23671
107lA00,12e8L02,0.23671
107lA00,130lA00,0.99926
107lA00,131lA00,0.99913
107lA00,132lA00,0.39231
107lA00,133lA00,0.40575
107lA00,134lA00,0.40266
107lA00,137lA00,0.98902
107lA00,138lA00,0.99903
107lA00,139lA00,0.99854
107lA00,140lA00,0.99773
107lA00,141lA00,0.9989
107lA00,142lA00,0.99824
107lA00,143lA00,0.99805
107lA00,144lA00,0.99685
107lA00,145lA00,0.98052
107lA00,146lA00,0.99692
107lA00,147lA00,0.99694
107lA00,149lA00,0.89042
107lA00,151lA00,0.80643
107lA00,152lA00,0.96322
107lA00,153lA00,0.47312
107lA00,155cA00,0.31436
107lA00,155lA00,0.99921
107lA00,156lA00,0.99931
107lA00,157lA00,0.9975
107lA00,158lA00,0.99881
107lA00,159lA00,0.99936
107lA00,160lA00,0.9987
107lA00,161lA00,0.99845
107lA00,162lA00,0.99922
107lA00,163lA00,0.99942
107lA00,164lA00,0.99934
107lA00,165lA00,0.99873
107lA00,166lA00,0.99919
107lA00,167lA00,0.98504
107lA00,168lA00,0.82468
107lA00,169lA00,0.78862
107lA00,16pkA01,0.21846
107lA00,16pkA02,0.21846
107lA00,16vpA00,0.26309
107lA00,170lA00,0.97826
107lA00,171lA00,0.98317
107lA00,172lA00,0.76002
107lA00,173lA00,0.79383
107lA00,174lB00,0.78228
107lA00,175lA00,0.97777
107lA00,176lA00,0.97389
107lA00,177lA00,0.98498
107lA00,17gsA01,0.29921
107lA00,180lA00,0.99288
107lA00,189lA00,0.86984
107lA00,190lA00,0.99761
107lA00,1914A00,0.26963
107lA00,191lA00,0.99743
107lA00,192lA00,0.988
107lA00,195lA00,0.99755
107lA00,196lA00,0.99668
107lA00,197lA00,0.9941
107lA00,198lA00,0.99731
107lA00,199lA00,0.99802
107lA00,19hcA01,0.26833
107lA00,19hcA02,0.26833
107lA00,1a00B00,0.31316
107lA00,1a01B00,0.31364
107lA00,1a02F00,0.22779
107lA00,1a02J00,0.22779
107lA00,1a03A00,0.33661
107lA00,1a04A01,0.26248
107lA00,1a04A02,0.26248
107lA00,1a05A00,0.24123
107lA00,1a06A01,0.30191
107lA00,1a0aA00,0.28904
107lA00,1a0cA00,0.19201
107lA00,1a0dA00,0.20087
107lA00,1a0eA00,0.19901
107lA00,1a0gA02,0.28808
107lA00,1a0hA01,0.27486
107lA00,1a0hA02,0.27486
107lA00,1a0iA01,0.23262
107lA00,1a0iA02,0.23262
107lA00,1a0iA03,0.23262
107lA00,1a0jA01,0.31049
107lA00,1a0jA02,0.31049
107lA00,1a0pA01,0.30286
107lA00,1a0qH01,0.23482
107lA00,1a0qL01,0.23482
107lA00,1a0qL02,0.23482
107lA00,1a0rB00,0.28493
107lA00,1a0rP01,0.28493
107lA00,1a0rP02,0.28493
107lA00,1a0sP00,0.216
107lA00,1a10I00,0.25987
107lA00,1a14H00,0.25734
107lA00,1a14L00,0.25734
107lA00,1a15A00,0.19901
107lA00,1a17A00,0.25652
107lA00,1a18A00,0.30634
107lA00,1a19A00,0.27849
107lA00,1a1aB00,0.30444
107lA00,1a1gA01,0.27718
107lA00,1a1hA01,0.24392
107lA00,1a1hA03,0.24392
107lA00,1a1iA01,0.2468
107lA00,1a1mA01,0.25711
107lA00,1a1nA01,0.25637
107lA00,1a1rA02,0.30675
107lA00,1a1tA00,0.22256
107lA00,1a1vA01,0.21149
107lA00,1a1vA02,0.21149
107lA00,1a1vA03,0.21149
107lA00,1a1wA00,0.35233
107lA00,1a1xA00,0.26422
107lA00,1a1zA00,0.35623
107lA00,1a21A01,0.28428
107lA00,1a21B02,0.28428
107lA00,1a22A00,0.28761
107lA00,1a25A00,0.26092
107lA00,1a2aA00,0.27441
107lA00,1a2dA00,0.30645
107lA00,1a2dB00,0.30645
107lA00,1a2fA02,0.30638
107lA00,1a2gA02,0.30653
107lA00,1a2nA02,0.29572
107lA00,1a2oA01,0.25314
107lA00,1a2pA00,0.26177
107lA00,1a2qA00,0.28613
107lA00,1a2tA00,0.26132
107lA00,1a2uA00,0.26521
107lA00,1a2vA03,0.17993
107lA00,1a2vB03,0.17993
107lA00,1a2vC03,0.17993
107lA00,1a2vD03,0.17993
107lA00,1a2vE03,0.17993
107lA00,1a2vF03,0.17993
107lA00,1a2xA00,0.37327
107lA00,1a2yA00,0.24178
107lA00,1a2yB00,0.24178
107lA00,1a2yC00,0.24178
107lA00,1a2zA00,0.2319
107lA00,1a31A02,0.2176
107lA00,1a31A03,0.2176
107lA00,1a31A04,0.2176
107lA00,1a32A00,0.25273
107lA00,1a35A04,0.21396
107lA00,1a36A04,0.21183
107lA00,1a39A00,0.22461
107lA00,1a3aC00,0.35487
107lA00,1a3cA00,0.29054
107lA00,1a3dA00,0.26556
107lA00,1a3gA01,0.28335
107lA00,1a3oA00,0.31179
107lA00,1a3pA00,0.19871
107lA00,1a3qA01,0.22027
107lA00,1a3qA02,0.22027
107lA00,1a3rH01,0.22582
107lA00,1a3rL01,0.22582
107lA00,1a3tA00,0.25557
107lA00,1a3uA00,0.2578
107lA00,1a3vA00,0.25158
107lA00,1a3wA01,0.22387
107lA00,1a3wA02,0.22387
107lA00,1a3wB03,0.22387
107lA00,1a3zA00,0.29338
107lA00,1a40A02,0.21823
107lA00,1a41A01,0.30851
107lA00,1a41A02,0.30851
107lA00,1a44A00,0.27497
107lA00,1a45A01,0.26847
107lA00,1a45A02,0.26847
107lA00,1a48A01,0.24806
107lA00,1a49A01,0.21552
107lA00,1a4aA00,0.29505
107lA00,1a4eA00,0.21481
107lA00,1a4fA00,0.27318
107lA00,1a4fB00,0.27318
107lA00,1a4iA02,0.28681
107lA00,1a4iB01,0.28681
107lA00,1a4jA01,0.23661
107lA00,1a4jB01,0.23661
107lA00,1a4kA01,0.2252
107lA00,1a4pA00,0.38609
107lA00,1a4sA01,0.20356
107lA00,1a4sA02,0.20356
107lA00,1a52A00,0.31599
107lA00,1a53A00,0.2445
107lA00,1a54A02,0.2346
107lA00,1a57A00,0.29582
107lA00,1a58A00,0.27421
107lA00,1a59A01,0.24031
107lA00,1a59A02,0.24031
107lA00,1a5aA00,0.23009
107lA00,1a5aB02,0.23009
107lA00,1a5cA00,0.25043
107lA00,1a5eA00,0.3068
107lA00,1a5fH01,0.24586
107lA00,1a5fH02,0.24586
107lA00,1a5fL01,0.24586
107lA00,1a5iA01,0.28514
107lA00,1a5iA02,0.28514
107lA00,1a5jA01,0.25713
107lA00,1a5jA02,0.25713
107lA00,1a5kC02,0.25794
107lA00,1a5lC02,0.25561
107lA00,1a5mC02,0.25791
107lA00,1a5pA00,0.26638
107lA00,1a5qA00,0.26394
107lA00,1a5tA01,0.31173
107lA00,1a5tA02,0.31173
107lA00,1a5tA03,0.31173
107lA00,1a5yA00,0.26969
107lA00,1a5zA01,0.26083
107lA00,1a5zA02,0.26083
107lA00,1a62A01,0.29041
107lA00,1a62A02,0.29041
107lA00,1a65A01,0.21023
107lA00,1a66A00,0.25503
